NOME,link atitudinal 1,link atitudinal 2,link mensal,link bimestral,AT1,AT2,AT3,AT4,AM,AB
ALUNO(A) 1,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,10,10,10,0
ALUNO(A) 2,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,5,7,8,10
ALUNO(A) 3,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,8,10,7.5,10,6.25,9.5
ALUNO(A) 4,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,8,10,-,-,10,10
ALUNO(A) 5,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,0,10,0,0,10,10
ALUNO(A) 6,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,7.5,0,8,10
ALUNO(A) 7,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,10,0,0,0
ALUNO(A) 8,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,7.5,0,0,0
ALUNO(A) 9,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,5,0,8,8
ALUNO(A) 10,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,8,10,7.5,0,8,8
ALUNO(A) 11,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,8,10,7.5,0,10,9.5
ALUNO(A) 12,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,7.5,10,10,9.5
ALUNO(A) 13,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,8,10,7.5,10,8,8
ALUNO(A) 14,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,4,8,,0,10,8
ALUNO(A) 15,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,6,10,7.5,0,0,0
ALUNO(A) 16,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,7.5,0,10,7.5
ALUNO(A) 17,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,10,10,10,10,6.25,9.5
ALUNO(A) 18,FEITA EM SALA,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,LINK DA ATIVIDADE X,8,10,7.5,0,10,6.6